id_x,projectType,projectName,projectCategory,slug,slugId,status,projectAge,reraId,countryId,stateId,cityId,localityId,subLocalityId,projectSummary,possessionDate,id_y,projectId_x,landmark,fullAddress,pincode,id_merged2,projectId_y,propertyCategory,type,customBHK,id_variant,configurationId,bathrooms,privateBathrooms,publicBathrooms,balcony,furnishedType,furnishingType,lift,ageOfProperty,parkingType,listingType,floorPlanImage,carpetArea,price,propertyImages,maintenanceCharges,aboutProperty,createdAt,updatedAt
cmf53kkzy000fvcu8tx8jwjmr,RESIDENTIAL,Ashwini,STANDALONE,luxury-ashwini-ashoknagar-chembur-mumbai-675058,,UNDER_CONSTRUCTION,,"[""P99000056045""]",cmfw6qdtd0000vx6uelma0klf,cmf3ze56e0002vcf8e0hjqnsw,cmf6nu3ru000gvcxspxarll3v,cmf6pksk30035vcxs7r2mo3iq,cmfdkuymm0001vc90iiyzkr8d,,2025-09-28 00:00:00,cmf53kl01000nvcu8ibut7fka,cmf53kkzy000fvcu8tx8jwjmr,Babys school,Mumbai chembur,411017,cmf53kkzz000ivcu89r5399s4,cmf53kkzy000fvcu8tx8jwjmr,RESIDENTIAL,1BHK,,,,,,,,,,,,,,,,,,,,,
cmf53kkzy000fvcu8tx8jwjmr,RESIDENTIAL,Ashwini,STANDALONE,luxury-ashwini-ashoknagar-chembur-mumbai-675058,,UNDER_CONSTRUCTION,,"[""P99000056045""]",cmfw6qdtd0000vx6uelma0klf,cmf3ze56e0002vcf8e0hjqnsw,cmf6nu3ru000gvcxspxarll3v,cmf6pksk30035vcxs7r2mo3iq,cmfdkuymm0001vc90iiyzkr8d,,2025-09-28 00:00:00,cmf53kl01000nvcu8ibut7fka,cmf53kkzy000fvcu8tx8jwjmr,Babys school,Mumbai chembur,411017,cmf53kl00000kvcu86ivy65di,cmf53kkzy000fvcu8tx8jwjmr,RESIDENTIAL,2BHK,,,,,,,,,,,,,,,,,,,,,
cmf5r6hv00001vxptnfichhfl,RESIDENTIAL,Pristine02,STANDALONE,pristine02-modelcolony-shivajinagar-pune-428955,,READY_TO_MOVE,0.0,"[""P52100032109""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf6nu3ru000gvcxspxarll3v,cmf6pk0cn0033vcxshxbf5hdh,cmfdn705v001pvc90uyle9m34,,,cmf5r6hv30008vxptq5el3h5n,cmf5r6hv00001vxptnfichhfl,Sai nagar ,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",412101,cmf5r6hv20004vxpt0l657blu,cmf5r6hv00001vxptnfichhfl,RESIDENTIAL,2BHK,2BHK,,,,,,,,,,,,,,,,,,,,
cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,,,cmfawdrnt000kvc18h3j7e93j,cmfawdrno0007vc18l0fm0z2j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,cmfawdrnq000avc18qcvaxzi9,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,1BHK,1BHK,,,,,,,,,,,,,,,,,,,,
cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,,,cmfawdrnt000kvc18h3j7e93j,cmfawdrno0007vc18l0fm0z2j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,cmfawdrnr000dvc188hupv4yy,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,3BHK,3BHK,,,,,,,,,,,,,,,,,,,,
cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,,,cmfawdrnt000kvc18h3j7e93j,cmfawdrno0007vc18l0fm0z2j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,cmfawdrnr000gvc18iunqlv98,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,2BHK,2BHK,,,,,,,,,,,,,,,,,,,,
cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,Hari om,STANDALONE,hari-om-ashoknagar-chembur-mumbai-650559,,UNDER_CONSTRUCTION,,"[""P51800066536""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmfcec5ph007ivca007lzj3b3,,,cmfaxq2ot002avc18ild77rjg,cmfaxq2oo0020vc1806nmle00,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,cmfaxq2or0023vc18biodrtiy,cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,1BHK,1BHK,,,,,,,,,,,,,,,,,,,,
cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,Hari om,STANDALONE,hari-om-ashoknagar-chembur-mumbai-650559,,UNDER_CONSTRUCTION,,"[""P51800066536""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmfcec5ph007ivca007lzj3b3,,,cmfaxq2ot002avc18ild77rjg,cmfaxq2oo0020vc1806nmle00,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,cmfaxq2os0025vc18y99ryrns,cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,2BHK,2BHK,,,,,,,,,,,,,,,,,,,,
cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,Hari om,STANDALONE,hari-om-ashoknagar-chembur-mumbai-650559,,UNDER_CONSTRUCTION,,"[""P51800066536""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmfcec5ph007ivca007lzj3b3,,,cmfaxq2ot002avc18ild77rjg,cmfaxq2oo0020vc1806nmle00,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,cmfaxq2os0027vc1861948lln,cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,3BHK,3BHK,,,,,,,,,,,,,,,,,,,,
cmfaycwy70036vc18ppmb8mwh,RESIDENTIAL,Om makarand heights,STANDALONE,om-makarand-heights-ashoknagar-chembur-mumbai-716337,,UNDER_CONSTRUCTION,,"[""P51800052217""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf6oxndf0021vcxsvog0r7bk,cmfcewd9m007svca0b4pla35a,,2025-09-21 00:00:00,cmfaycwya003hvc18yc5gtwtc,cmfaycwy70036vc18ppmb8mwh,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",400075,cmfaycwy80039vc18b1epdodx,cmfaycwy70036vc18ppmb8mwh,RESIDENTIAL,1BHK,1BHK,,,,,,,,,,,,,,,,,,,,
